objectid,code,group_,unitname,min_age_ma,max_age_ma,descriptn,rocktype1,rocktype2
"14815",P_-HAj-xci-od,Hamersley Group,Weeli Wolli Formation,"2450","2451","Banded iron-formation (commonly jaspilitic), mudstone, siltstone, and numerous dolerite sills; metamorphosed",sedimentary other chemical or biochemical,igneous mafic intrusive
"14817",P_-HAj-xci-od,Hamersley Group,Weeli Wolli Formation,"2450","2451","Banded iron-formation (commonly jaspilitic), mudstone, siltstone, and numerous dolerite sills; metamorphosed",sedimentary other chemical or biochemical,igneous mafic intrusive
"14826",A-FOj-xs-b,Fortescue Group,Jeerinah Formation,"2629","2713","Siliciclastic sedimentary rocks, mafic volcanic rocks and minor felsic volcanic rocks; local carbonate rocks, chert, and dolerite sills",sedimentary siliciclastic,igneous mafic volcanic
"14855",A-FO-od,Fortescue Group,Fortescue Group,"2629","2775",Dolerite dyke or sill,igneous mafic intrusive,
"15195",A-HAu-xsl-ci,Hamersley Group,Mount McRae Shale and Mount Sylvia Formation,"2501","2541","Mudstone, siltstone, chert, banded iron-formation, and dolomite; metamorphosed",sedimentary siliciclastic,sedimentary other chemical or biochemical
"15281",A-HAu-xsl-ci,Hamersley Group,Mount McRae Shale and Mount Sylvia Formation,"2501","2541","Mudstone, siltstone, chert, banded iron-formation, and dolomite; metamorphosed",sedimentary siliciclastic,sedimentary other chemical or biochemical
"15282",A-HAm-cib,Hamersley Group,Marra Mamba Iron Formation,"2597","2629","Chert, banded iron-formation, mudstone, and siltstone; minor carbonate; metamorphosed",sedimentary other chemical or biochemical,
"15286",P_-WYm-sp,Wyloo Group,Mount McGrath Formation,"1799","2008","Ferruginous sandstone, conglomerate and pebbly sandstone; quartz sandstone, siltstone, dolomitic siltstone, and dolostone",sedimentary siliciclastic,
"15288",A-HAu-xsl-ci,Hamersley Group,Mount McRae Shale and Mount Sylvia Formation,"2501","2541","Mudstone, siltstone, chert, banded iron-formation, and dolomite; metamorphosed",sedimentary siliciclastic,sedimentary other chemical or biochemical
"15289",A-FO-od,Fortescue Group,Fortescue Group,"2629","2775",Dolerite dyke or sill,igneous mafic intrusive,
"15290",A-HAu-xsl-ci,Hamersley Group,Mount McRae Shale and Mount Sylvia Formation,"2501","2541","Mudstone, siltstone, chert, banded iron-formation, and dolomite; metamorphosed",sedimentary siliciclastic,sedimentary other chemical or biochemical
"15291",A-FOj-xs-b,Fortescue Group,Jeerinah Formation,"2629","2713","Siliciclastic sedimentary rocks, mafic volcanic rocks and minor felsic volcanic rocks; local carbonate rocks, chert, and dolerite sills",sedimentary siliciclastic,igneous mafic volcanic
"15292",A-HAm-cib,Hamersley Group,Marra Mamba Iron Formation,"2597","2629","Chert, banded iron-formation, mudstone, and siltstone; minor carbonate; metamorphosed",sedimentary other chemical or biochemical,
"15295",A-FO-od,Fortescue Group,Fortescue Group,"2629","2775",Dolerite dyke or sill,igneous mafic intrusive,
"15296",A-HAm-cib,Hamersley Group,Marra Mamba Iron Formation,"2597","2629","Chert, banded iron-formation, mudstone, and siltstone; minor carbonate; metamorphosed",sedimentary other chemical or biochemical,
"15303",P_-HAw-fr,Hamersley Group,Woongarra Rhyolite,"2445","2449","Rhyolite, rhyodacite, rhyolitic breccia, and banded iron-formation; metamorphosed",igneous felsic volcanic,
"15304",P_-HAo-ci,Hamersley Group,Boolgeeda Iron Formation,"2445","2445","Fine-grained, finely laminated iron-formation, mudstone, siltstone, and chert; metamorphosed",sedimentary other chemical or biochemical,
"15412",P_-WYd-kd,Wyloo Group,Duck Creek Dolomite,"1799","2008","Thin- to very thick-bedded dolostone, commonly stromatolitic or brecciated; locally silicified",sedimentary carbonate,
"15522",P_-TKk-sf,Turee Creek Group,Kungarra Formation,"2208","2445","Argillite and subordinate thin- to thick-bedded sandstone; local stromatolitic dolomite, diamictite, iron formation; intruded by Balgara Dolerite sills",sedimentary siliciclastic,
"15523",P_-SKb-bb,Shingle Creek Group,Cheela Springs Basalt,"2031","2208","Amygdaloidal basalt and minor volcaniclastic rock; immature sandstone, siltstone, and mudstone; intruded by Balgara Dolerite sills",igneous mafic volcanic,
"15795",A-HAm-cib,Hamersley Group,Marra Mamba Iron Formation,"2597","2629","Chert, banded iron-formation, mudstone, and siltstone; minor carbonate; metamorphosed",sedimentary other chemical or biochemical,
"15812",A-HAm-cib,Hamersley Group,Marra Mamba Iron Formation,"2597","2629","Chert, banded iron-formation, mudstone, and siltstone; minor carbonate; metamorphosed",sedimentary other chemical or biochemical,
"15813",P_-HAo-ci,Hamersley Group,Boolgeeda Iron Formation,"2445","2445","Fine-grained, finely laminated iron-formation, mudstone, siltstone, and chert; metamorphosed",sedimentary other chemical or biochemical,
"15814",A-HAd-kd,Hamersley Group,Wittenoom Formation,"2504","2597","Thinly bedded dolomite and dolomitic shale, with minor black chert, shale, banded iron formation and sandstone",sedimentary carbonate,
"15915",P_-SKq-stq,Shingle Creek Group,Beasley River Quartzite,"2208","2208","Fine- to coarse-grained, silicified quartz sandstone; ferruginous conglomerate, sandstone, and pebbly sandstone; siltstone and dolostone; intruded by Balgara Dolerite sills",sedimentary siliciclastic,
"15993",A-HAd-kd,Hamersley Group,Wittenoom Formation,"2504","2597","Thinly bedded dolomite and dolomitic shale, with minor black chert, shale, banded iron formation and sandstone",sedimentary carbonate,
"15994",A-FO-od,Fortescue Group,Fortescue Group,"2629","2775",Dolerite dyke or sill,igneous mafic intrusive,
"16002",A-HAu-xsl-ci,Hamersley Group,Mount McRae Shale and Mount Sylvia Formation,"2501","2541","Mudstone, siltstone, chert, banded iron-formation, and dolomite; metamorphosed",sedimentary siliciclastic,sedimentary other chemical or biochemical
"16003",A-FO-od,Fortescue Group,Fortescue Group,"2629","2775",Dolerite dyke or sill,igneous mafic intrusive,
"16007",P_-HAo-ci,Hamersley Group,Boolgeeda Iron Formation,"2445","2445","Fine-grained, finely laminated iron-formation, mudstone, siltstone, and chert; metamorphosed",sedimentary other chemical or biochemical,
"16008",P_-HAo-ci,Hamersley Group,Boolgeeda Iron Formation,"2445","2445","Fine-grained, finely laminated iron-formation, mudstone, siltstone, and chert; metamorphosed",sedimentary other chemical or biochemical,
"16009",A-HAm-cib,Hamersley Group,Marra Mamba Iron Formation,"2597","2629","Chert, banded iron-formation, mudstone, and siltstone; minor carbonate; metamorphosed",sedimentary other chemical or biochemical,
"16010",A-FO-xo-a,Fortescue Group,Fortescue Group,"2629","2775","Layered mafic and ultramafic sills; coarse-grained pyroxenite overlain by leucocratic gabbro or dolerite; local basal serpentinite; metamorphosed",igneous mafic intrusive,igneous ultramafic intrusive
"16011",A-HAu-xsl-ci,Hamersley Group,Mount McRae Shale and Mount Sylvia Formation,"2501","2541","Mudstone, siltstone, chert, banded iron-formation, and dolomite; metamorphosed",sedimentary siliciclastic,sedimentary other chemical or biochemical
"16012",A-FO-od,Fortescue Group,Fortescue Group,"2629","2775",Dolerite dyke or sill,igneous mafic intrusive,
"16013",A-FOj-xs-b,Fortescue Group,Jeerinah Formation,"2629","2713","Siliciclastic sedimentary rocks, mafic volcanic rocks and minor felsic volcanic rocks; local carbonate rocks, chert, and dolerite sills",sedimentary siliciclastic,igneous mafic volcanic
"16014",A-FO-od,Fortescue Group,Fortescue Group,"2629","2775",Dolerite dyke or sill,igneous mafic intrusive,
"16015",A-FO-od,Fortescue Group,Fortescue Group,"2629","2775",Dolerite dyke or sill,igneous mafic intrusive,
"16016",A-FO-od,Fortescue Group,Fortescue Group,"2629","2775",Dolerite dyke or sill,igneous mafic intrusive,
"16017",A-HAm-cib,Hamersley Group,Marra Mamba Iron Formation,"2597","2629","Chert, banded iron-formation, mudstone, and siltstone; minor carbonate; metamorphosed",sedimentary other chemical or biochemical,
"16018",A-FOj-xs-b,Fortescue Group,Jeerinah Formation,"2629","2713","Siliciclastic sedimentary rocks, mafic volcanic rocks and minor felsic volcanic rocks; local carbonate rocks, chert, and dolerite sills",sedimentary siliciclastic,igneous mafic volcanic
"16019",A-HAd-kd,Hamersley Group,Wittenoom Formation,"2504","2597","Thinly bedded dolomite and dolomitic shale, with minor black chert, shale, banded iron formation and sandstone",sedimentary carbonate,
"16020",A-FO-od,Fortescue Group,Fortescue Group,"2629","2775",Dolerite dyke or sill,igneous mafic intrusive,
"16021",A-FOj-xs-b,Fortescue Group,Jeerinah Formation,"2629","2713","Siliciclastic sedimentary rocks, mafic volcanic rocks and minor felsic volcanic rocks; local carbonate rocks, chert, and dolerite sills",sedimentary siliciclastic,igneous mafic volcanic
"16023",P_-HAj-xci-od,Hamersley Group,Weeli Wolli Formation,"2450","2451","Banded iron-formation (commonly jaspilitic), mudstone, siltstone, and numerous dolerite sills; metamorphosed",sedimentary other chemical or biochemical,igneous mafic intrusive
