LITHSTRATNO,GAUNITNO,GEOLCODE,PARENT_LITHSTRATNO,UNIT_NAME,sort,LEG_NAR,SUMARY_NAR,DIST_NAR,DERNAM_NAR,TYPESC_NAR,LITH_NAR,DEPENV_NAR,MIN_THICK,MAX_THICK,THICK_NAR,CONT_R_NAR,CURRENCY,STATUSNO,GEOLCOLOUR,COLOUR_CODE,MIXED_ROCKTYPE,RANKNO,OROGENY,AGE,CORREL_AGE,MAX_AGE,MAX_AGE_UN,MIN_AGE,MIN_AGE_UN,GEOCHR_NAR,CG_APPROVED,REL_PAR_AGE,EQV_REL_PAR,CHILD_HIER,EQV_CHILDH,PM_APPROVED,WorkflowStatus,TwoPointFiveMegMap,FiveHundredKiloMap,cbGeoTimeCode,cbStratigraphyCode,cbTectonicCode,TolTectonicID,TolOrderNo,TolEqvOrderNo,LastModifiedBy,LastModifiedDate,PublishDate,LegendNarrativeEdited,OneHundredKiloMap
1814,5276,E-KJdv-od,4528,Davis Dolerite,1,Dolerite in sills and dykes; fine to medium grained,,,,,,,,,,,,17,,,,4,,,,511,,511,,MTDW: need to refer to age of 523+/-14,No,,,3,,No,Approved for DE,Yes,Yes,E,KJdv,,,,,MIGSDAR,2.02E+13,,No,No
1925,39506,A-EMda-gr,3288,Davitt Syenogranite,1,"Muscoviteâ€“garnet syenogranite; medium grained, foliated; weakly metamorphosed",,,,,,,,,,,,17,,,,4,,,,3324,,3277,,,No,,,23,,No,Approved for DE,No,Yes,A,EMda,,,,,MIGSDAR,2.02E+13,,No,No
4774,79347,A-_dy-g,1,Davyhurst Granite,1,Granite; typically poorly exposed and deeply weathered,,,,,,,,,,,,17,,,,4,,,,3010,,2600,,,No,,,731,,No,Approved for DE,No,No,A,_dy,,223,72,,MIGSDAR,2.02E+13,,No,No
2833,78637,A-_dr-gg,1,Day Rock Granodiorite,1,Granodiorite; metamorphosed,,,,,,,,,,,,17,,,,4,,,,2676,5,2676,5,,No,,,619,,No,Approved for DE,No,Yes,A,_dr,,223,35,,MIGSDAR,2.02E+13,,No,No
3631,69685,A-DG-xs-c,1,De Grey Supergroup,1,"Clastic sedimentary rocks, banded iron-formation and chert, and subordinate mafic and felsic volcanic rocks; weakly metamorphosed",,,,,,,,,,,,17,,,Mixed,1,,,,3066,,2930,,,No,,,243,,No,Approved for DE,Yes,No,A,DG,,267,2,,MIGSDAH,2.02E+13,,No,No
4223,5300,P_-_de-stq,1579,Dean Quartzite,1,"Predominantly medium-grained, white, well silicified quartz sandstone; locally pebbly and conglomeratic","The Dean Quartzite (Wells et al., 1964, 1970; Close et al., 2003; Edgoose, 2013; Haines et al., 2015, 2016) is a siliciclastic unit up to 1000 m thick that forms prominent strike ridges along the southwestern margin of the Amadeus Basin in WA and the NT. Prominent features of the formation in WA include the Rawlinson, Walter James, Anne, Robert, Nyingana and Carnegie Ranges, as well as Mount Buttfield and the Schwerin Mural Crescent. It also forms prominent ridges in the Petermann, Dean and Bloods Ranges the extend into the NT. Along with the underlying Kulail Sandstone, the Dean Quartzite forms a basal siliciclastic interval to the Amadeus Basin (basal Supersequence 1 using terminology of Walter et al., 1995) that is correlated to the Heavitree Formation of the northern margin. It is overlain concordantly by the Bitter Springs Group. The Dean Quartzite is dominated by very well silicified quartz sandstone (orthoquartzite) and minor conglomerate where unmetamorphosed. Sedimentary structures are poorly preserved because of the silicification, a feature distinguishing it from the underlying Kulail Sandstone where sedimentary structures are commonly well preserved. In some areas the formation has been structurally interleaved with older rocks during the Petermann Orogeny. In these areas it may be structurally complex and has commonly been metamorphosed to paraquartzite and quartz-sericite schist (greenschist to lower amphibolite facies) that is mapped separately as informal unit P_-_de-mtq. The age of the Dean Quartzite, although not tightly constrained, is inferred to be Tonian in the range of 976-810 Ma based on regional correlation to the Heavitree Formation.","The Dean Quartzite extends along the structurally complex southwestern margin of the Amadeus Basin in Western Australia (WA) and the Northern Territory (NT). In WA it forms widespread prominent ridges in RAWLINSON, MOUNT BUTFIELD and REBECCA, with minor outcrop on the southern edge of WALLACE, the northern edge of GUNBARREL and the northeastern corner of DEERING. Prominent features comprising mainly Dean Quartzite in WA include the Rawlinson, Walter James, Anne, Robert, Nyingana and Carnegie Ranges, as well as Mount Buttfield and the Schwerin Mural Crescent. It also forms prominent ridges in the Petermann, Dean and Bloods Ranges the extend into the NT. Outcrops extend 235 km east of the WA-NT border were they are located on the PETERMANN RANGES, BLOODS RANGE and AYERS ROCK 1:250 000 map sheet areas. Further to the east the formation is absent in the Mount Kitty petroleum exploration well, where Bitter Springs Group unconformably overlies crystalline basement, suggesting that the eastern outcrop limit is close to the real eastern limit; either a primary depositional limit, or a preservational limit following an early episode of erosion. The formation is inferred to extend north beneath younger Amadeus Basin rocks to emerge as the Heavitree Formation along the northern margin. The Dean Quartzite is estimated to be up to at least 1000 m thick in the north (Nyingana and Robert Ranges). In other areas structural complications make determining the thickness difficult or impossible and it is likely to be thinner in the south.  ","The term Dean Quartzite is derived from the Dean Range straddling the WA-NT border in the DEERING (WA), REBECCA (WA) and HULL (NT) 1:100 000 scale map sheet areas. The term &quot;Dean Metamorphics&quot; was first used by Wells et al. (1961) for a stratigraphic interval which extended from the current Dean Quartzite down to parts of the underlying Tjuwata Group. The stratigraphic extent was reduced by Wells et al. (1964), and the name  revised to Dean Quartzite. A lower local feldspathic sandstone unit of the original Dean Quartzite was subsequently seperated as the Kulail Sandstone (Close et al., 2003).  No type has nominated for the Dean Quartzite.",,"The Dean Quartzite is dominated by very well silicified quartz sandstone (orthoquartzite). Grain size varies from fine to coarse, but is predominantly medium-grained. Pebbly and conglomeratic beds are present locally, with the well-rounded pebble clasts composed mostly of white vein quartz. Siltstone interbeds are rare. While typically quartz-rich, the sandstone may display slightly feldspathic intervals, and heavy mineral bands are observed locally. When freshly broken the rock is typically white to pale grey or pale blue, but with a thin orange-brown weathering skin. Locally the rock may be pervasively iron oxide stained. The strata is typically thickly bedded and blocky. While cross-beds are common, the degree of silicification often makes bedding and sedimentary structures poorly defined, and the rock may appear massive. This contrasts with the underlying Kulail Sandstone, which is more feldspathic, and commonly displays well-preserved sedimentary structures.  ","The Dean Quartzite appears to be largely of moderate- to high-energy shallow marine shelf origin, but may include some deltaic or fluvial facies. Silicification masks sedimentary structures in most outcrops so depositional environments can be hard to determine.",,1000,,"Where the structure is simple the Dean Quartzite overlies the Kulail Sandstone, but elsewhere it may be in thrust contact with underlying rocks. In most localities the point of contact between Dean Quartzite and Kulail Sandstone is obscured by scree, but it is clearly exposed at PWHROB000056 (Zone 52 424519E 7283331N) in the Robert Range. At this location the contact is sharp, but there is no evidence of erosion between the massive medium-grained silicified quartz sandstone of the basal Dean Quartzite, and the underlying more recessive fine- to medium-grained, thin- to medium-bedded sandstone of the top Kulail Sandstone. The contact is thus interpreted as conformable. At some locations units of silicified sandstone resembling the Dean Quartzite are interbedded near the top of the Kulail Sandstone, suggesting that the contact might also be gradational. In the NT the contact is likewise reported as varying from sharp to gradational (Close et al., 2003). The upper contact with the Bitter Springs Group is regionally inferred to be conformable, but is not well exposed in WA.",,17,,,,4,,,,976,,810,,"A sample of Dean Quartzite from the Robert Range has been analysed for detrital zircon age spectrum (GSWA 199404; Wingate et al., 2015; Haines et al., 2015, 2016). The youngest date of 1039 Â± 35 Ma (1&sigma;) obtained from a single analysis from this sample provides a maximum depositional age for the sandstone. A more conservative estimate of the maximum depositional age is 1120 Â± 29 Ma for the weighted mean date of the nine youngest analyses. Detrital zircon dating of the Dean Quartzite in the NT is reported by Camacho et al. (2015), but does not provide any younger constraints. The detrital zircon dates are older than an estimate based on the regional correlation of the Dean Quartzite with the upper Heavitree Formation of the northern Amadeus Basin. The Heavitree Formation is younger than the Central Desert Dolerite which has yielded dates of 976 Â± 3 Ma (zircon) and 972 Â± 8 Ma (baddelyite) (Wyborn et al., 1998). It is separated from the younger Loves Creek Formation, which has a inferred age of 810-790 Ma based on global chemostratigraphic correlations (Klaebe et al., 2017, and references therein), by the thick Gillen Formation. Therefore an age within the broad range of 976-810 Ma is applied.   ",No,,,6,,No,DE in Progress,No,No,P_,_de,,,,,MIGSDPH,2.02E+13,,No,No
2843,75071,A-_dh-gnap,1,Deception Hill Microgranite,1,"Massive, quartz- and feldspar-phyric microgranite; metamorphosed",,,,,,,,,,,,17,,,,4,,,,2787,26,2700,,,No,,,611,,No,Approved for DE,No,Yes,A,_dh,,26,28,,MIGSDAR,2.02E+13,,No,No
934,79161,PZ-_dc-st,1,Decoration Sandstone,1,"Fine- to medium-grained, red-white mottled red-bed sandstone, moderately bioturbated (subsurface only)","The Decoration Sandstone is a bioturbated, mottled red and white sandstone, with a basal pebbly conglomerate and an uppermost claystone member. It was intersected between the Bight Basin succession and Precambrian basement in drillhole GSWA FOR010, between 249 and 358 m drilled depth. The age is unconstrained except by bioturbation (which indicates a Phanerozoic age) and overlying Cretaceous sedimentary rocks, but it is inferred to be middle or lower Paleozoic from the resemblance to other lower Paleozoic sandstones in western and central Australia. The detrital zircon population from one sample resembles that from other Supersequence 4 rocks of the Centrlian Superbasin, implying an early or mid Cambrian age. The detrital zircon population from one sample resembles that from other Supersequence 4 rocks of the Centralian Superbasin, implying an early or mid-Cambrian age.","The Decoration Sandstone has to date only been intersected in one drillhole, FOR010, immediately above Mesoproterozoic metagranite of the Forrest Zone (Coompana Province) beneath the Bight and Eucla Basins. It consists of an upper claystone from 249 to 255 m drilled depth, and a sandstone-dominated interval from 255 to 358 m. The detrital zircon population present in one sample from the unit suggests a Cambrian age, in which case it may correlate with, or be part of, the Wirrildar beds or Trainor Hills Sandstone, which are exposed to the north and northeast. ","The Decoration Sandstone is named after Decoration Cave, one of the few named topographic features near the drillhole that intersected the sandstone. The type section is the only known intersection, in drillhole FOR010 between 249 and 358 m drilled depth.",,"The description below is paraphrased from Reynolds (2014).  The Decoration Sandstone has a conglomeritic base, and consists of alternating sections of irregular bedded sandstone, planar laminated sandstone and massive fining up sandstone. It can also be divided into four sections based on the amount of oxidation - a basal hematite rich, oxidised zone from 312 m to 358 m, a transition zone from 295 m to 312 m, an upper section from 255 m to 295 m which is reduced and creamy white, and an uppermost mottled green and red claystone, consisting of very fine grained mudstone to claystone. This is faintly laminated in places with some pyrite present, and rests sharply on the underlying sandstone.  The lower section consists of a basal pebbly conglomerate with several pebbly horizons and alternating >1 m beds of planar and irregular bedded sands. The irregular bedded sands have a distinctive wavy/irregular texture, and are bioturbated. The sand is quartz dominated with minor hematite and lithics. Grain size ranges from <0.1 mm to 0.5 mm and average 0.3 mm. The sand is moderately to poorly sorted with finer silty grains tending to be angular with low sphericity, whereas coarser grains are highly spherical and well rounded.  The upper section is lithologically and texturally similar to the basal section. However, the pebble conglomerate and hematite staining are absent, and pyrite nodules are common. The interval also has fine green muddy laminations with similar texture to the wavy bedding in the lower section. There is also evidence for soft sediment deformation.  Reynolds S 2013, Stratigraphic evolution of the southern Australian onshore Bight Basin: a record for the breakup of Gondwana during the Cretaceous: Hons thesis, Curtin University, Perth, 60p.",The bioturbation in the sandstone inicates a coastal setting for much of the unit. The base may be continental.,109,109,,,,17,,,,4,,,,541,,298.9,,"The age of the Decoration Sandstone is constrained by the overlying Cretaceous Madura Formation, the presence of extensive bioturbation in the unit, and the lack of any apparent structural deformation. It is thus inferred to be Paleozoic. The facies present in the unit resemble parts of the Tumblagooda Sandstone in the Southern Carnarvon Basin, the Mereenie Sandstone in the Amadeus Basin, and the Lennis Sandstone and Wanna Formation of the southern Officer Basin, but the detrital zircon histograms from two samples (at 262 and 351 m in FOR010) are dissimilar. They show a distribution similar to Supersequence 4 units from the Centralian Superbasin, thus implying a Cambrian age and possible correlation with the Wirrildar beds, which appear to be exposed not far to the north, or the Trainor Hill Sandstone in adjoining South Australia. ",No,,,23,,No,DE in Progress,No,No,PZ,_dc,,279,3,,MIGSDRH,2.02E+13,,No,No
4982,23540,A-LVdd-og,4766,Defiance Dolerite,1,Differentiated sill: basal pyroxenite to dolerite; granophyric phase in the central to upper sections; metamorphosed,"A differentiated mafic sill with a pyroxenite base transitional to a porphyritic dolerite followed by an equigranular dolerite, granophyric upper centre and dolerite top with a chilled margin. The dolerite intrudes at the base of the Paringa Basalt, and is known to occur from Kambalda to Tramways in the southern Kalgoorlie Terrane. The dolerite is a host to gold mineralization associated with intense biotite-pyrite alteration and is preferentially associated with granophyric zones of the dolerite and tectonic structures.","The dolerite is known on both limbs of the Kambalda Anticline, extending 45 kilometres southwards to Tramways (Zone 51, MGA 51391680E, 6513360N) on the LAKE LEFROY and LAKE COWAN map sheets. The general level of the intrusion is between between the Kapai Slate and the Paringa Basalt.",Possibly after the Victory-Defiance underground and open cut.,,"The dolerite is a differentiated sill with tholeiitic to calc-alkaline signatures. The base is a pyroxenite grading to dolerite to a granophyric zone just above centre, which is overlain by a dolerite with a chilled margin at the top. Roberts and Elias (1990), summarize five major zones, from the base to top, as:        Zone 1. A medium-grained pyroxene orthocumulate with a doleritic base. The pyroxenite has less than 10% feldspar and has a bulk MgO of 18 wt % (Neumayr et al., 2004).   Zone 2. A porphyritic dolerite where amphibole has pseudomorphed clusters of orthopyroxene and pyroxene in the matrix. There is an upwards trend of decreasing mafic content and increasing tabular plagioclase.   Zone 3. An equigranular dolerite, marked by the absence of mafic phenocrysts. Plagioclase has a tabular habit. Granophyric intergrowth of quartz-plagioclase comprises 10% of the groundmass (Neumayr et al., 2004) and irregular coarse pegmatitic intergrowths. Titanite commonly mantles mafic and plagioclase grains.   Zone 4. Quartz granophyre. Matrix comprises greater than 10% quartz and plagioclase. The morphology of pseudomorphed pyroxene changes from equant to bladed. Accessory phases include magnetite-titanite-ilmenite. The centre of the zone can comprise up to 70% spherulitic granophyre (Neumayr et al., 2004).   Zone 5. Transitional from Zone 4 to a medium- to fine-grained dolerite. Contains bladed pseudomorphed pyroxene and less than 10% granophyric quartz-albite. Tabular plagioclase is absent. Grain size decreases to a chilled margin, which comprises radiating clusters of elongate ex-pyroxene.    <br type=""_moz"" />
Clark et al. 1986, subdivided the Defiance dolerite, at the Victory Mine into ten zones. These zones are a finer division of the five zones mention above. Minor differences include the presence of magnetite in Zone 2, and parts of Zone. Biotite and calcite alteration are prominent in the granophyric phases in association with mineralisation (Clark et al., 1986). The Defiance Dolerite is a gold target in the St Ives area near Kambalda is associated with intense biotite-pyrite alteration and is structurally controlled (Clark et al., 1986). Beyond zones of alteration associated with mineralization the characteristic metamorphic assemblage is hornblende-actinolite-chlorite-plagioclase. ",,,300,,Intrusive above the Kapai Slate and below the Paringa Basalt.,,17,,,,4,,,,2696,,2696,,No isotopic age dating has been undertaken on this unit.,No,,,1,,No,Submitted,No,No,A,LVdd,,,,,MIGSDAR,2.01E+13,,No,No
4940,,P_-_dn-stq,1,Denison beds,1,"Quartz sandstone with minor sub-lithic sandstone, shale and siltstone; abundant cross-beds and ripple marks",,,,,,,,,,,,8,,,,4,,,,1768,,810,,,No,,,749,,No,Approved for DE,No,No,P_,_dn,,8,16,,MIGSDPH,2.02E+13,,No,No
3880,5384,A-_dp-gg,1,Depot Granodiorite,1,"Medium- to coarse-grained, hornblende leucogranodiorite and leucotonalite; metamorphosed","The Depot Granodiorite is an oval-shaped granitic body (16 km x 12 km) located 28 km south east of Coolgardie on the YILMIA map sheet. The rock is a hornblende-bearing leuco-granodiorite to leuco-tonalite. The margins of the granitic rock have a solid state deformation fabric. Beyond the margins the intrusive body is equigranular, medium- to coarse grained and massive to weakly foliated. Classified as a mafic granite by Cassidy and Champion (2002). Potasssium radiometrics strongly define the granodiorite and the Mt Marion lithium-rich pegmatites are within 3km of the exposed granite margin. A U-Pb SHRIMP zircon age for magamatic crystallization has been determined as 2689 Â± 3 Ma.","An oval-shaped granitic body (16 km x 12 km) of approximately 163.3 square kilometres with approximately a third of the rock exposed. Assess to Depot Hill Granodiorite is via the Coolgardie-Kambalda Highway which passes from the northern to southern margins of the granitic body. Large platforms of the granitic rock can be found at Horse Rocks (Latitude -31&ordm; 7' 16'' S, Longitude 121&ordm; 24' 11'' E) and Depot Hill Rocks (Latitude, -31&ordm; 9' 44'' S, Longitude 121&ordm; 26' 39'' E) The granodiorite is situated at the northeastern corner of the YILMIA map sheet.","The granodiorite takes it name from Depot Hill (Latitude -31&ordm; 9' 44'' S [Decimal Degrees -31.16232&ordm;], Longitude 121&ordm; 26' 39'' E [Decimal Degree 121.4442&ordm;]), approximately 35 km southeast of Coolgardie and situated within and near the southeast margin of the granitic rock.",,"Hunter (1993) described the rock as a hornblende-bearing leuco-granodiorite to leuco-tonalite that is heterogeneous where it carries nebulous xenoliths and is cut by abundant granitic and pegmatite dykes. Away from the margins the granodiorite is medium- to coarse-grained and equigranular and may exhibit a weak solid state deformation fabric. Rare rounded relict phenocrysts of microcline can be found in the granular matrix. At the margins there is a strong solid state deformation fabric for several hundred meters.   Hornblende comprises up to 10% of the rock with a generally porphyroblastic habit and is locally associated with green clinopyroxene (originally about 2-3%, but now largely replaced by epidote and amphibole). Plagioclase (70%) is dominantly oligoclase but with thin albitic rims and patches, apparently partial melt products. The other major constituent is quartz (10%), which can exhibit a mild gneissose fabric. Subordinate minerals include epidote, apatite, allanite, titanate, opaques and secondary biotite/ stilpnomelane. Most of the mafic minerals occur in small aggregates, and are derived, or closely associated with the clinopyroxene. The textural features of this igneous body, together with the hornblende-clinopyroxene mineralogy, indicate that it has experienced middle to upper amphibolite facies metamorphism (Hunter, 1993). Cassidy and Champion (2002) classified the granite as a mafic granite.  Potassium radiometric data highlights the granodiorite from other local and regional felsic intrusives. Notably, the margin of the granitic rock is within 3 km of the Mt Marion lithium-rich pegmatites that are exposed in mafic and ultramafic rocks to the east. Exploration for lithium and REE-bearing minerals at Mt Marion has focused on anomolus potassium signatures in radiometrics to  ",,,,,At the margins there is a strong foliation with low to moderate dip is apparent for several hundred metres but no lineations are found. On the eastern and western margins the zone of solid state deformation is up to 500 m wide. On the western margin metasedimentary rocks of the Black Flag Group have relict garnet and cordierite indicating a narrow contact aureole. A similar intrusive margin is inferred for its eastern side but this has been obscured by a major shear which follows the boundary between the Depot Granodiorite and metasedimentary rocks. The northern end of the granodiorite is cross cut by the mafic Paleoproterozoic Celebration dyke (Celebration Dolerite Member of the Widgiemooltha Dolerite).,,17,,,,4,,,,2689,3,2689,3,"A sample of the granodiorite (GSWA 182288) was submitted for U-Pb SHRIMP zircon age dating to the Geological Survey of Western Australia.  In 2014, 25 analyses yeilded a weighted mean  207 Pb/ 206 Pb date of 2689 Â± 3 Ma that was interpreted as the age of igneous crystallization.",No,,,319,,No,DE in Progress,No,No,A,_dp,,223,46,,MIGSDCI,2.02E+13,,No,No
1459,30349,A-_de-gmb,1,Despair Granite,1,"Biotite monzogranite, foliated to locally massive; includes lenses of biotite schist, quartzite, metamorphosed banded iron-formation, amphibolite, and quartzite",,,,,,,,,,,,17,,,,4,,,,2800,,2500,,,No,,,292,,No,Approved for DE,Yes,Yes,A,_de,,230,5,,MIGSDDM,2.02E+13,,No,No
1312,,P_-MEv-mk,1313,Devil Creek Formation,1,Metacarbonate rock,"The metacarbonate member (P_-MEv-mk) of the Devil Creek Formation is interpreted to form a discontinuous train of exposures within the Big Bend Syncline on central southern PINK HILLS. The unit is interpreted as Devil Creek Formation (P_-MEv-kd) that was metamorphosed to amphibolite facies during the 1030-955 Ma Edmundian Orogeny. Although this unit has not been dated directly, it is inferred to have been deposited sometime between c. 1590 and 1463 Ma.","Metacarbonate of the Devil Creek Formation is interpreted to form a discontinuous train of exposures within the Big Bend Syncline on central southern PINK HILLS. Currently this formation has not been identified in outcrop, but is interpreted to be present under extensive colluvium, between the outcropping Discovery Formation (P_-MEd-ml) and the overlying Ullawarra Formation (P_-MEl-mlsd). Locally, the unit displays a distinct striped pattern on airphotos. In common with the metamorphosed Discovery Formation in this region, this metamorphosed Devil Creek Formation is restricted to the northwestern part of the Big Bend Sycline.",,,"Metacarbonate rock of the Devil Creek Formation has not yet been identified in outcrop, but is interpreted to be present under extensive colluvium.",,,,,"The lack of exposure of the metacarbonate unit means that the nature of its contacts with other units is unclear. However, based on the regional interpretation, the Devil Creek Formation is presumed to be in conformable contact with other metamorphosed Edmund Group rocks in the area (P_-MEd-ml, P_-MEl-mlsd) and it likely rests unconformably on interbedded metasiltstone and fine-grained metasandstone of the Kiangi Creek Formation (P_-MEk-mh).",,8,,,,5,,,,1590,,1463,,The metacarbonate of the Devil Creek Formation has not been dated directly. Based on the age of its parent formation (P_-MEv-kd) it was probably deposited between c. 1590 and 1463 Ma.,No,,,1,,No,Published,No,No,P_,MEv,,,,,MIGSDDM,2.02E+13,2.02E+13,No,No
3295,,A-KGdv-xsh-cc,4743,Devon Consols Basalt,1,Shale with fine-grained lamined siltstone and chert; minor sandstone; metamorphosed,,,,,,,,,,,,8,,,Mixed,5,,,,2702,,2692,,,No,,,1,,No,Approved for DE,No,No,A,KGdv,,,,,MIGSDAR,2.01E+13,,No,No
554,,D-_rc-sbp,2925,Devonian conglomerates associated with reef complexes,1,Frasnian and Famennian (locally ?Givetian) boulder to cobble conglomerate and sandstone,,,,,,,,,,,,8,,,,3,,,,387.7,,358.9,,,No,,,3,,No,Approved for DE,Yes,Yes,D,_rc,,,,,MIGSDAR,2.02E+13,,No,No
2925,,D-_ru-kt,1572,"Devonian reef complexes, undivided",1,"Limestone, siltstone, and dolomite deposited in platform, marginal slope, and basinal settings; includes siliciclastic conglomerates associated with reef complexes",,,,,,,,,,,,8,,,,2,,,,387.7,,358.9,,,No,,,1,,No,Approved for DE,No,No,D,_ru,,,,,MIGSDDM,2.01E+13,,No,No
1572,,D-xs-kt-CA,1,"Devonian sedimentary rocks, Canning Basin",1,"Sandstone, limestone, conglomerate, siltstone; continental to coastal, reef complexes",,,,,,,,,,,,8,,,Mixed,1,,,,387.7,,358.9,,,No,,,111,,No,Approved for DE,Yes,No,D,,CA,21,16,,MIGSDRH,2.02E+13,,No,No
1582,,D-xs-k-SBO,1,"Devonian sedimentary rocks, Southern Bonaparte Basin",1,"Sandstone, conglomerate, reef complexes in Famennian",,,,,,,,,,,,8,,,Mixed,1,,,,387.7,,358.9,,,No,,,121,,No,Approved for DE,No,No,D,,SBO,72,3,,MIGSDRH,2.02E+13,,No,No
416,,D-xs-k-CV,1,"Devonian sedimentary rocks, Southern Carnarvon Basin",1,"Sandstone, limestone, conglomerate",,,,,,,,,,,,8,,,Mixed,2,,,,387.7,,358.9,,,No,,,656,,No,Approved for DE,Yes,Yes,D,,CV,81,9,,MIGSDRH,2.02E+13,,No,No
111,24244,A-_di-s,1,Diemals Formation,1,Sedimentary siliciclastic rocks; metamorphosed,,,,,,,,,,,,17,,,,4,,,,2701,,2654,,,No,,,153,,No,Approved for DE,Yes,Yes,A,_di,,11,11,,MIGSDDM,2.02E+13,,No,No
323,21659,P_-SDkd-gml,314,Dillinger Monzogranite,1,"Medium- to fine-grained, leucocratic biotite monzogranite; minor syenogranite; rich in mafic inclusions adjacent to contacts with gabbro",,,,,,,,,,,,17,,,,4,,,,1827,,1808,,,No,,,1,b,No,Approved for DE,No,No,P_,SDkd,,,,,MIGSDAR,2.01E+13,,No,No
